series_name,imdb_id
Seinfeld,tt0098904
Silicon Valley,tt2575988
Friends,tt0108778
Game of Thrones,tt0944947
The Walking Dead,tt1520211
Sherlock,tt1475582
How I Met Your Mother,tt0460649
Lost,tt0411008
House of Cards,tt1856010
Prison Break,tt0455275
Arrow,tt2193021
House,tt0412142
Supernatural,tt0460681
Westworld,tt0475784
Suits,tt1632701
Modern Family,tt1442437
The Office,tt0386676
Breaking Bad,tt0903747
Two and a Half Men,tt0369179
The Sopranos,tt0141842
The Wire,tt0306414
Scrubs,tt0285403
Peaky Blinders,tt2442560
Mad Men,tt0804503
Shameless,tt1586680
24,tt0285331
Entourage,tt0387199
That '70s Show,tt0165598
Gossip Girl,tt0397442
Brooklyn Nine-Nine,tt2467372
La casa de papel,tt6468322
Malcolm in the Middle,tt0212671
Revenge,tt1837642
Desperate Housewives,tt0410975
NCIS,tt0364845
The Fresh Prince of Bel-Air,tt0098800
30 Rock,tt0496424
Monk,tt0312172
The Night Manager,tt1399664
Monty Python's Flying Circus,tt0063929
Everybody Loves Raymond,tt0115167
Full House,tt0092359
Wayward Pines,tt2618986
Bron/Broen,tt1733785
Extras,tt0445114
Eastbound & Down,tt0866442
Will & Grace,tt0157246
M*A*S*H,tt0068098
Chappelle's Show,tt0353049
Nikita,tt1592154
Spaced,tt0187664
ER,tt0108757
Dragon Ball,tt0280249
Blue Mountain State,tt1344204
Schitt's Creek,tt3526078
Veep,tt1759761
Scorpion,tt3514324
Severance,tt11280740
Silo,tt14688458
Love Island UK,tt4770018
